,IOC,Type,VT_Malicious,VT_Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
236,1367dcf619cb935dc08d349fc18d3f9726cfceff151f4d57beff45591712189c,file,0,0,0,0,undetected,2,No,,,,0,0
237,62242df8c7db337e46f44c4323ac9738adba89f095deb8e5d873ee8b35fa5079,file,0,0,0,0,undetected,2,No,,,,0,0
238,westlaw.top,domain,0,0,0,0,undetected,14,No,,,,0,0
239,sapc0ncur24.one,domain,0,0,0,0,undetected,2,No,,,,0,0
240,103.113.70.37,ip_address,0,0,0,0,undetected,3,No,United States,New Jersey,Secaucus,40.7876,-74.06
241,138.124.183.95,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
242,62.76.234.234,ip_address,0,0,0,0,undetected,2,No,Italy,Sicily,Palermo,38.1302,13.329
243,7zip-1508.top,domain,0,0,0,0,undetected,2,No,,,,0,0
244,974285914961125d2963435c3dbe49b882cd88d95563b1ae3a62cd6240618c16,file,0,0,0,0,undetected,2,No,,,,0,0
245,358ac037d444ece8c21fa85ad71338a3ff0a10b1b0672217ae38eac18b03661f,file,0,0,0,0,undetected,2,No,,,,0,0
246,c902a206da5c3e1a4b8b8ba9f0e63f314e8cadcf044c25f729176b29c19bcbbb,file,0,0,0,0,undetected,2,No,,,,0,0
247,86.104.72.23,ip_address,0,0,0,0,undetected,8,No,United States,New Jersey,Secaucus,40.7876,-74.06
248,bfc1064d3624c7bc68ef6b8ce2b0f40229d5981472c8b443c58f38bf3f461b2a,file,0,0,0,0,undetected,2,No,,,,0,0
249,lexisnex.pro,domain,0,0,0,0,undetected,10,No,,,,0,0
250,concuur.com,domain,0,0,0,0,undetected,10,No,,,,0,0
251,4814ea15da1826d9ef400c3e607ca87d11b18b8a1b4f43f13afa93467429dfb8,file,0,0,0,0,undetected,3,No,,,,0,0
252,assana.monster,domain,0,0,0,0,undetected,2,No,,,,0,0
253,63629c87fe460abb657a504bb9786b913b1250288681520cee9e9fbcb14e888f,file,0,0,0,0,undetected,2,No,,,,0,0
254,wsj.wf,domain,0,0,0,0,undetected,1,No,,,,0,0
255,aimp.day,domain,0,0,0,0,undetected,10,No,,,,0,0
256,74.119.194.151,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
257,41c671332b58f92187e32771ed1ba86c1ed256e36f036f74c91cf1aa7db07bc2,file,0,0,0,0,undetected,4,No,,,,0,0
258,lexisnexis.one,domain,0,0,0,0,undetected,10,No,,,,0,0
259,7zip2024.pro,domain,0,0,0,0,undetected,3,No,,,,0,0
260,thomsonreuter.info,domain,0,0,0,0,undetected,14,No,,,,0,0
261,890cf9827361add4c2a6e5b93f7f9ccc9bb2f555e0cd535de144203f7156a959,file,0,0,0,0,undetected,2,No,,,,0,0
262,0c8b9fa67d1d149636b560a2ec8f9c50cd41ebf11f5691cf2ea39f1d057f8ff1,file,0,0,0,0,undetected,2,No,,,,0,0
263,de88ae471d8b95e5e10264aea5eb040fedb9bb71428385e7cff6c77a6ae47d97,file,0,0,0,0,undetected,2,No,,,,0,0
264,meet2024.com,domain,0,0,0,0,undetected,9,No,,,,0,0
265,meet-go.info,domain,0,0,0,0,undetected,2,No,,,,0,0
266,7zip1024.top,domain,0,0,0,0,undetected,2,No,,,,0,0
267,193.23.118.165,ip_address,0,0,0,0,undetected,2,No,The Netherlands,North Holland,Amsterdam,52.3676,4.90414
268,38.180.80.124,ip_address,0,0,0,0,undetected,2,No,United States,Illinois,Chicago,41.8835,-87.6305
269,85.209.134.209,ip_address,0,0,0,0,undetected,3,No,United States,New Jersey,Secaucus,40.7895,-74.0565
270,h2.den4ik440.ru,domain,0,0,0,0,undetected,0,No,,,,0,0
271,1e54b2e6558e2c92df73da65cd90b462dcafa1e6dcc311336b1543c68d3e82bc,file,0,0,0,0,undetected,6,No,,,,0,0
272,3869340562136d1d8f11c304f207120f9b497e0a430ca1a04c0964eb5b70f277,file,0,0,0,0,undetected,4,No,,,,0,0
273,concur.pm,domain,0,0,0,0,undetected,16,No,,,,0,0
274,concuur.org,domain,0,0,0,0,undetected,2,No,,,,0,0
275,fbe1970d89b8546cd57522bf479e8be08fec4f3df9bdf79d0f3436250ce38379,file,0,0,0,0,undetected,2,No,,,,0,0
276,wen-airdrop.net,domain,0,0,0,0,undetected,3,No,,,,0,0
277,138.124.184.64,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
278,e4fff1e153ef46a29865f28df724e7a3246809d9ae75a7546b580938acbbcb73,file,0,0,0,0,undetected,3,No,,,,0,0
279,bloomberg-t.com,domain,0,0,0,0,undetected,9,No,,,,0,0
280,8719ccdb87c8b2c4e312208bd17a8df42a1683c10bb32699bb415a66f0dbdda0,file,0,0,0,0,undetected,2,No,,,,0,0
281,5.252.178.150,ip_address,0,0,0,0,undetected,2,No,Romania,Iași County,Iași,47.1672,27.6083
282,c220f9ba0ee8445ab6d36f19d7cf24fd6df72eea41b9ba40f585451ee24c0f6d,file,0,0,0,0,undetected,2,No,,,,0,0
283,138.124.183.176,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
284,8d5d4e48ce623085efec9a56981b0ab74f1180f3b42614df88f11da543f2849a,file,0,0,0,0,undetected,2,No,,,,0,0
285,1f38a9e17e5096bca84b6ec87eb5470b2ce4450a6a03b3e41b38dbd91ab281da,file,0,0,0,0,undetected,2,No,,,,0,0
286,45.89.53.60,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
287,85.209.134.188,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7895,-74.0565
288,65b601f8154bddd42cb31ce166697335e79f2e713655865bee66654c51e7c1dc,file,0,0,0,0,undetected,2,No,,,,0,0
289,401c5d2157d303df1ca465ff4097ee4474574c39f614cbb5734193a3917354c0,file,0,0,0,0,undetected,2,No,,,,0,0
290,13265c0e32312a0763f3f8fed0f017a606355987ac9398bfb38f47c760ad32b0,file,0,0,0,0,undetected,2,No,,,,0,0
291,062c0a5c8f484bc975b3e5490718cc5c7f732f7f53ce35d81e94cd83c273f78b,file,0,0,0,0,undetected,2,No,,,,0,0
292,194d739fa93970d63dade70aae7c3b9ac8a6938be9f0e2d470d3adf8c106bfad,file,0,0,0,0,undetected,2,No,,,,0,0
293,1ec930716999f6a80a4f32624d8f907f2c7887e15b1c518d22f4aefe49367bba,file,0,0,0,0,undetected,2,No,,,,0,0
294,aimp.pm,domain,0,0,0,0,undetected,2,No,,,,0,0
295,127c691f5a354fa0933ec3e9d9d1bb976c2de7092065d75ea66626c8dc007029,file,0,0,0,0,undetected,2,No,,,,0,0
296,50a5e6a357c841e6c2058ee658c70756da4b803f2a4f6d2cf96ab882a03a5294,file,0,0,0,0,undetected,3,No,,,,0,0
297,138.124.183.175,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
298,0ddce15bea228c65d3b456759de0abc87aa6e805fd6c466347e9b76913a538ce,file,0,0,0,0,undetected,3,No,,,,0,0
299,2fd9e14830bbeef24fdff29a850a6164af4c4722d742185e022df9106029b587,file,0,0,0,0,undetected,2,No,,,,0,0
300,7zip2024.store,domain,0,0,0,0,undetected,2,No,,,,0,0
301,50b102938d29cc7f61c67da6981545c69f70c7178d009ec1999ee0ddfe81ebba,file,0,0,0,0,undetected,4,No,,,,0,0
302,f015da1f2ada32f734b81aa282bea62840cd84afaa353ca52d5e2d0c82e705d1,file,0,0,0,0,undetected,4,No,,,,0,0
303,lexisnexis.lat,domain,0,0,0,0,undetected,10,No,,,,0,0
304,7zip-2024.info,domain,0,0,0,0,undetected,2,No,,,,0,0
305,5303183d82b8c4d2a47fab4167868a8cfbf8d56d3397701ab890e88c99105ae4,file,0,0,0,0,undetected,2,No,,,,0,0
306,concur.life,domain,0,0,0,0,undetected,2,No,,,,0,0
307,908ef89767bcd583edb96a8c12f3046b9db522cc7310e2c20799881d7bf75f9d,file,0,0,0,0,undetected,2,No,,,,0,0
308,ee6a58d1e3ce4f2e7fac7bb3c1f1c24836bcc79f456035aede52b7d14a7de77f,file,0,0,0,0,undetected,2,No,,,,0,0
309,91.228.10.81,ip_address,0,0,0,0,undetected,8,No,United Kingdom,England,Coventry,52.4064,-1.5082
310,2024-aimp.pw,domain,0,0,0,0,undetected,10,No,,,,0,0
311,workable.uk.com,domain,0,0,0,0,undetected,0,No,,,,0,0
312,newsconcur24.one,domain,0,0,0,0,undetected,2,No,,,,0,0
313,b417396efb07943d380182d610da313607308a74fc0dc77318407a5248cbab6e,file,0,0,0,0,undetected,2,No,,,,0,0
314,1f52416232bf57e6cbd8a72335a5f321cf8a571e53b043ee69dc3647d4978844,file,0,0,0,0,undetected,2,No,,,,0,0
315,b3f46a63817a2076e3de49957d5801eb8ede9dc1498bdab702fcc6f8cccf0e61,file,0,0,0,0,undetected,1,No,,,,0,0
316,381c6f7f8c12ea1ac483dad9ac71c09fa807bd1ffe2479f6d6c7da14013e7899,file,0,0,0,0,undetected,2,No,,,,0,0
317,94.159.100.117,ip_address,0,0,0,0,undetected,2,No,Germany,Hesse,Frankfurt am Main,50.1169,8.6837
318,2ba527fb8e31cb209df8d1890a63cda9cd4433aa0b841ed8b86fa801aff4ccbd,file,0,0,0,0,undetected,9,No,,,,0,0
319,7zip-2024.pro,domain,0,0,0,0,undetected,2,No,,,,0,0
320,58ab8b2a21e33b0700d11efd5a677bd98e536e200b45e22aa06059c1088063f7,file,0,0,0,0,undetected,3,No,,,,0,0
321,91.149.232.112,ip_address,0,0,0,0,undetected,3,No,Germany,Hesse,Frankfurt am Main,50.1169,8.6837
322,2024-7zip.info,domain,0,0,0,0,undetected,10,No,,,,0,0
323,meetgo2024.top,domain,0,0,0,0,undetected,2,No,,,,0,0
324,802338ddade5c023b83dd2111fe30b7d5b4b21b86408e91544345e0c45702a1d,file,0,0,0,0,undetected,2,No,,,,0,0
325,4d03c2a47265eab0c87006a4a2965fcf394fbdabb8e86cbe16b36376d04b8143,file,0,0,0,0,undetected,3,No,,,,0,0
326,7zip-archiver.click,domain,0,0,0,0,undetected,2,No,,,,0,0
327,bc3f10302a62a5e100a2a31e50a9c32a554d74015f17be2299273d143d2b42de,file,0,0,0,0,undetected,2,No,,,,0,0
328,e300c44b45b07f3766586e500f4f3596c23ffd80171eaa5334bb4db3e8d027e0,file,0,0,0,0,undetected,3,No,,,,0,0
329,4c2f8feced7768f756ac7d4fa633b08fd61f0ba198c860fa4f1093dedbf060d2,file,0,0,0,0,undetected,4,No,,,,0,0
330,app-trello.com,domain,0,0,0,0,undetected,9,No,,,,0,0
331,asana.pm,domain,0,0,0,0,undetected,11,No,,,,0,0
332,0d44ff778dbecf8d951c54c199bd35ba0fe5ac817d5ef61b2fe998dfdb794560,file,0,0,0,0,undetected,2,No,,,,0,0
333,62.76.234.99,ip_address,0,0,0,0,undetected,2,No,Italy,Sicily,Palermo,38.1302,13.329
334,3802c396e836de94ee13e38326b3fb937fcf0d6f6ef9ccdf77643be65de4c8ee,file,0,0,0,0,undetected,2,No,,,,0,0
335,3c6dacad931bf24eb953858c0bb3e49fe821d111d9003c9fffcb814ae6e8edf8,file,0,0,0,0,undetected,2,No,,,,0,0
336,wsj.re,domain,0,0,0,0,undetected,1,No,,,,0,0
337,c5fa7fd1ff45c5cfaec851795f4c2e15326046f3022778bdf6f37b7b1dd75f5c,file,0,0,0,0,undetected,2,No,,,,0,0
338,494460a17bec58d47212c907e7e7706dc80e99b27a022558637caebc2867e574,file,0,0,0,0,undetected,2,No,,,,0,0
339,b7b7516063052b84f3d240b66630b01d0c098376dba531c5ae9dbcaa1a099820,file,0,0,0,0,undetected,2,No,,,,0,0
340,5072735b87e62c0239099fcd3d74a677e1b4c6497e0b17ed8ea4c83778c13039,file,0,0,0,0,undetected,2,No,,,,0,0
341,45.140.17.49,ip_address,0,0,0,0,undetected,3,No,Russia,St.-Petersburg,St Petersburg,59.9311,30.3609
342,8515d46da83fb649db969b2acca47cd10f232174af358560210b362a56594fd1,file,0,0,0,0,undetected,2,No,,,,0,0
343,8b7be1efcddddc3a29ae0514a6ae758e7f86be193ffe380e5e1e38dc22affb38,file,0,0,0,0,undetected,2,No,,,,0,0
344,69d267234d62fd6ffd1c6a12b36835b1454dce4a6df1b370e549e275961ae235,file,0,0,0,0,undetected,2,No,,,,0,0
345,5e9362dba53021ab588e396e1cb28100718471f07c5dd5cafa6bf5728f014b97,file,0,0,0,0,undetected,2,No,,,,0,0
346,94.159.100.111,ip_address,0,0,0,0,undetected,2,No,Germany,Hesse,Frankfurt am Main,50.1169,8.6837
347,2938261c867331e12e7cff9ee28366f3986986108eeb00507db74cf0d7b6aad2,file,0,0,0,0,undetected,3,No,,,,0,0
348,c399fe7ba04828aeadd881d7daa17dc0e3b880e95cc1aa2295c510f6bd8aa1d4,file,0,0,0,0,undetected,2,No,,,,0,0
349,139b48d1b94a9c31a4c7ac1feaa7bf54b50f33ab8936f22404648233bf48cc95,file,0,0,0,0,undetected,2,No,,,,0,0
350,sapconcur.top,domain,0,0,0,0,undetected,10,No,,,,0,0
351,94bb5b8cc0a2d01d4f65294c816299b97dd38bc7be8fc9089dc90cc969995528,file,0,0,0,0,undetected,2,No,,,,0,0
352,e9b0cc2118a7a07709b56f7358c07f4a2959f81c87da5f565fa08382768fac8b,file,0,0,0,0,undetected,2,No,,,,0,0
353,8d8d21f2c28f3e44b7253583e04d11cf7e7453dab139c187201f80e70d89b579,file,0,0,0,0,undetected,3,No,,,,0,0
354,wall-street-journal.link,domain,0,0,0,0,undetected,10,No,,,,0,0
355,advanced-ip-scanner.cfd,domain,0,0,0,0,undetected,2,No,,,,0,0
356,concur-sap.info,domain,0,0,0,0,undetected,2,No,,,,0,0
357,902c9aba42378c40c6c9623bab2326cb8b98fa06cfc0ee0379349055137c9500,file,0,0,0,0,undetected,6,No,,,,0,0
358,94.159.96.222,ip_address,0,0,0,0,undetected,3,No,Germany,Hesse,Frankfurt am Main,50.1169,8.6837
359,2c59f3552a77d2c9527970ae99e204ec279756ac24815a899ab43356420057e7,file,0,0,0,0,undetected,2,No,,,,0,0
360,76f98321f50595725f64f058d8f33103d518c5d77680fd7d5521c41786299358,file,0,0,0,0,undetected,2,No,,,,0,0
361,2bd6b5cbeddab8b01e14ed4c073afdbd4316340aada77e3e55ba5e1af21652f7,file,0,0,0,0,undetected,2,No,,,,0,0
