,IOC,Type,Total Engines,Malicious,Suspicious,Microsoft Detection,Flagged by Microsoft,In CIRCL Dataset,Severity Percentage,Error
36,communitycare.co.uk,domain,94,0,0,undetected,No,No,0.0,
35,commscope.com,domain,94,0,0,undetected,No,No,0.0,
34,colorado.edu,domain,94,0,0,undetected,No,No,0.0,
32,claytargetsports.com,domain,94,0,0,undetected,No,No,0.0,
31,civilservice.gov.uk,domain,94,0,0,undetected,No,No,0.0,
30,christianpost.com,domain,94,2,0,undetected,No,No,2.13,
29,chicagotribune.com,domain,94,0,0,undetected,No,No,0.0,
28,cdc.gov,domain,94,0,0,undetected,No,No,0.0,
27,ccsu.edu,domain,94,0,0,undetected,No,No,0.0,
26,cbre.com,domain,94,0,0,undetected,No,No,0.0,
25,carto.com,domain,94,0,0,undetected,No,No,0.0,
24,carrefour.fr,domain,94,0,0,undetected,No,No,0.0,
23,capgemini.com,domain,94,0,0,undetected,No,No,0.0,
22,campuslabs.com,domain,94,0,0,undetected,No,No,0.0,
21,ca.gov,domain,94,0,0,undetected,No,No,0.0,
20,byu.edu,domain,94,0,0,undetected,No,No,0.0,
19,bv.com,domain,94,0,0,undetected,No,No,0.0,
18,bose.com,domain,94,0,0,undetected,No,No,0.0,
17,boomi.com,domain,94,0,0,undetected,No,No,0.0,
15,berkeley.edu,domain,94,0,0,undetected,No,No,0.0,
14,benesse.ne.jp,domain,94,0,0,undetected,No,No,0.0,
13,barnardos.org.uk,domain,94,0,0,undetected,No,No,0.0,
12,barcelo.com,domain,94,0,0,undetected,No,No,0.0,
11,bain.com,domain,94,0,0,undetected,No,No,0.0,
10,auburn.edu,domain,94,0,0,undetected,No,No,0.0,
9,arsenal.com,domain,94,0,0,undetected,No,No,0.0,
8,ariba.com,domain,94,0,0,undetected,No,No,0.0,
7,anker.com,domain,94,0,0,undetected,No,No,0.0,
6,animalhumanesociety.org,domain,94,0,0,undetected,No,No,0.0,
5,angloamerican.com,domain,94,0,0,undetected,No,No,0.0,
4,alaskaair.com,domain,94,0,0,undetected,No,No,0.0,
3,alabama.gov,domain,94,0,0,undetected,No,No,0.0,
2,aha.org,domain,94,0,0,undetected,No,No,0.0,
1,ademe.fr,domain,94,0,0,undetected,No,No,0.0,
0,acciona.com.au,domain,94,0,0,undetected,No,No,0.0,
