,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
139,176.46.138.240,ip_address,6,4,95,6.32,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
140,176.46.138.232,ip_address,7,2,95,7.37,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
141,104.250.164.246,ip_address,6,2,95,6.32,undetected,4,No,United Kingdom,England,Manchester,53.4907,-2.24024
142,85.206.167.147,ip_address,2,0,95,2.11,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9399,23.3132
143,185.64.105.8,ip_address,1,0,95,1.05,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9349,23.3137
144,104.250.164.236,ip_address,8,2,95,8.42,undetected,4,No,United Kingdom,England,Manchester,53.4907,-2.24024
145,104.250.164.234,ip_address,6,2,95,6.32,undetected,4,No,United Kingdom,England,Manchester,53.4907,-2.24024
146,85.206.167.132,ip_address,1,0,95,1.05,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9399,23.3132
147,104.250.164.244,ip_address,7,2,95,7.37,undetected,4,No,United Kingdom,England,Manchester,53.4907,-2.24024
148,85.206.160.116,ip_address,2,0,95,2.11,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9399,23.3132
149,185.93.89.153,ip_address,7,2,95,7.37,undetected,2,No,United Kingdom,England,London,51.5072,-0.127586
150,185.93.89.150,ip_address,6,3,95,6.32,undetected,4,No,United Kingdom,England,London,51.5072,-0.127586
151,104.250.164.214,ip_address,10,2,95,10.53,undetected,4,No,United Kingdom,England,Manchester,53.4907,-2.24024
152,176.46.138.210,ip_address,6,2,95,6.32,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
153,185.93.89.178,ip_address,8,3,95,8.42,undetected,4,No,United Kingdom,England,London,51.5072,-0.127586
154,85.206.160.13,ip_address,2,0,95,2.11,undetected,2,No,Lithuania,Siauliai,Šiauliai,55.9399,23.3132
155,213.227.128.162,ip_address,1,0,95,1.05,undetected,2,No,The Netherlands,North Holland,Amsterdam,52.3667,4.89454
156,185.93.89.156,ip_address,6,3,95,6.32,undetected,4,No,United Kingdom,England,London,51.5072,-0.127586
157,104.250.164.248,ip_address,7,2,95,7.37,undetected,4,No,United Kingdom,England,Manchester,53.4907,-2.24024
158,185.93.89.166,ip_address,6,3,95,6.32,undetected,4,No,United Kingdom,England,London,51.5072,-0.127586
159,93.190.139.74,ip_address,1,0,95,1.05,undetected,2,No,The Netherlands,South Holland,Naaldwijk,51.9968,4.2057
160,176.46.138.225,ip_address,8,2,95,8.42,undetected,4,No,United States,Washington,Redmond,47.6694,-122.122
